Time      Power          Hist_Power     FR_Position    CR_Position    RHO            InsertRho      
0.00      1.625920e-09   1.625920e-09   0.0000         22.6200        0.0000         1018.9385      
1.00      1.627910e-09   1.862090e-09   0.2900         22.6200        0.8092         1019.7477      
2.00      1.631942e-09   8.365660e-10   0.8000         22.6200        2.2323         1021.1708      
3.01      1.635651e-09   1.700912e-09   1.1449         22.6200        3.1947         1022.1332      
4.01      1.640738e-09   9.997167e-10   1.6334         22.6200        4.5578         1023.4963      
5.01      1.645435e-09   1.533917e-09   1.9750         22.6200        5.5110         1024.4495      
6.01      1.651572e-09   9.439618e-10   2.4734         22.6200        6.9018         1025.8402      
7.01      1.657213e-09   1.473493e-09   2.8133         22.6200        7.8502         1026.7887      
8.01      1.663064e-09   1.756099e-09   3.1451         22.6200        8.7761         1027.7145      
9.01      1.670496e-09   1.577122e-09   3.6532         22.6200        10.1939        1029.1323      
10.01     1.677201e-09   1.706547e-09   3.9704         22.6200        11.0790        1030.0175      
11.01     1.682124e-09   1.559461e-09   4.0099         22.6200        11.2050        1030.1434      
12.01     1.686344e-09   1.726040e-09   3.9999         22.6200        11.1613        1030.0998      
13.01     1.690337e-09   1.551217e-09   3.9900         22.6200        11.1337        1030.0722      
14.01     1.694216e-09   1.785888e-09   3.9900         22.6200        11.1337        1030.0722      
15.01     1.697958e-09   1.524256e-09   3.9900         22.6200        11.1337        1030.0722      
16.01     1.701585e-09   1.715522e-09   3.9900         22.6200        11.1337        1030.0722      
17.01     1.705112e-09   1.482411e-09   3.9900         22.6200        11.1337        1030.0722      
18.00     1.708517e-09   1.809260e-09   3.9900         22.6200        11.1337        1030.0722      
19.00     1.711879e-09   1.640590e-09   3.9900         22.6200        11.1337        1030.0722      
20.00     1.715174e-09   1.830210e-09   3.9900         22.6200        11.1337        1030.0722      
21.00     1.718407e-09   1.659590e-09   3.9900         22.6200        11.1337        1030.0722      
22.00     1.721587e-09   1.851400e-09   3.9900         22.6200        11.1337        1030.0722      
23.00     1.724718e-09   1.650060e-09   3.9900         22.6200        11.1337        1030.0722      
24.00     1.727805e-09   1.894520e-09   3.9900         22.6200        11.1337        1030.0722      
25.00     1.730853e-09   1.566750e-09   3.9900         22.6200        11.1337        1030.0722      
26.00     1.733866e-09   9.495110e-10   3.9900         22.6200        11.1337        1030.0722      
27.00     1.736846e-09   1.603250e-09   3.9900         22.6200        11.1337        1030.0722      
28.00     1.739797e-09   1.035140e-09   3.9900         22.6200        11.1337        1030.0722      
29.00     1.742722e-09   1.631170e-09   3.9900         22.6200        11.1337        1030.0722      
30.00     1.745623e-09   1.594040e-09   3.9900         22.6200        11.1337        1030.0722      
31.00     1.748502e-09   1.747830e-09   3.9900         22.6200        11.1337        1030.0722      
32.00     1.751360e-09   1.531090e-09   3.9900         22.6200        11.1337        1030.0722      
33.00     1.754201e-09   1.678800e-09   3.9900         22.6200        11.1337        1030.0722      
34.00     1.757025e-09   1.659590e-09   3.9900         22.6200        11.1337        1030.0722      
35.00     1.759833e-09   1.788550e-09   3.9900         22.6200        11.1337        1030.0722      
