Time      Power          Hist_Power     FR_Position    CR_Position    RHO            InsertRho      
0.00      1.758564e-09   1.757920e-09   0.0000         22.6300        0.7385         1019.6769      
1.00      1.764169e-09   1.631170e-09   0.4600         22.6300        2.2335         1021.1719      
2.00      1.768684e-09   1.341220e-09   0.8100         22.6300        3.3710         1022.3094      
3.01      1.775178e-09   2.078350e-09   1.3234         22.6300        5.0395         1023.9780      
4.01      1.781005e-09   1.003372e-09   1.6634         22.6300        6.1445         1025.0830      
5.01      1.787232e-09   1.907540e-09   2.0050         22.6300        7.2547         1026.1932      
6.01      1.795324e-09   2.109047e-09   2.5033         22.6300        8.8742         1027.8126      
7.01      1.802708e-09   1.664852e-09   2.8349         22.6300        9.9519         1028.8903      
8.01      1.811871e-09   1.241402e-09   3.3233         22.6300        11.5392        1030.4776      
9.01      1.820347e-09   1.644719e-09   3.6533         22.6300        12.6117        1031.5501      
10.01     1.829140e-09   2.044476e-09   3.9850         22.6300        13.6897        1032.6282      
11.01     1.842277e-09   1.156969e-09   4.4834         22.6300        16.1555        1035.0939      
12.01     1.854711e-09   2.025297e-09   4.8250         22.6300        17.8635        1036.8019      
13.01     1.870157e-09   1.560803e-09   5.3234         22.6300        20.3555        1039.2939      
14.01     1.884651e-09   1.855017e-09   5.6651         22.6300        22.0640        1041.0024      
15.01     1.902307e-09   1.160510e-09   6.1734         22.6300        24.6055        1043.5439      
16.01     1.918839e-09   1.732429e-09   6.5133         22.6300        26.3050        1045.2434      
17.01     1.935836e-09   2.183871e-09   6.8444         22.6300        27.9605        1046.8989      
18.00     1.955017e-09   1.798870e-09   7.2800         22.6300        30.1385        1049.0769      
19.00     1.972169e-09   2.264640e-09   7.5000         22.6300        31.2385        1050.1769      
20.00     1.990090e-09   1.594040e-09   7.7600         22.6300        32.5385        1051.4769      
21.00     2.006454e-09   1.916460e-09   7.8900         22.6300        33.1885        1052.1269      
22.00     2.021133e-09   1.168150e-09   7.9200         22.6300        33.3385        1052.2769      
23.00     2.036819e-09   2.018370e-09   8.0200         22.6300        33.9435        1052.8819      
24.00     2.050470e-09   2.264640e-09   8.0100         22.6300        33.8410        1052.7794      
25.00     2.063912e-09   1.949850e-09   8.0100         22.6300        33.8410        1052.7794      
26.00     2.076750e-09   2.200390e-09   8.0000         22.6300        33.7385        1052.6769      
27.00     2.089605e-09   1.995260e-09   8.0000         22.6300        33.7385        1052.6769      
28.00     2.102292e-09   2.317400e-09   8.0000         22.6300        33.7385        1052.6769      
29.00     2.114822e-09   1.531090e-09   8.0000         22.6300        33.7385        1052.6769      
30.00     2.127218e-09   2.225870e-09   8.0000         22.6300        33.7385        1052.6769      
31.00     2.139497e-09   1.513560e-09   8.0000         22.6300        33.7385        1052.6769      
32.00     2.151675e-09   2.162720e-09   8.0000         22.6300        33.7385        1052.6769      
33.00     2.163765e-09   2.357760e-09   8.0000         22.6300        33.7385        1052.6769      
34.00     2.175781e-09   2.030020e-09   8.0000         22.6300        33.7385        1052.6769      
35.00     2.187732e-09   2.511890e-09   8.0000         22.6300        33.7385        1052.6769      
36.00     2.199630e-09   1.348960e-09   8.0000         22.6300        33.7385        1052.6769      
37.00     2.211481e-09   2.225870e-09   8.0000         22.6300        33.7385        1052.6769      
38.00     2.223295e-09   2.483130e-09   8.0000         22.6300        33.7385        1052.6769      
39.00     2.235078e-09   2.041740e-09   8.0000         22.6300        33.7385        1052.6769      
40.00     2.246835e-09   2.555640e-09   8.0000         22.6300        33.7385        1052.6769      
41.00     2.258574e-09   1.798870e-09   8.0000         22.6300        33.7385        1052.6769      
42.00     2.270299e-09   2.317400e-09   8.0000         22.6300        33.7385        1052.6769      
43.00     2.282014e-09   1.778280e-09   8.0000         22.6300        33.7385        1052.6769      
44.01     2.293842e-09   2.223336e-09   8.0000         22.6300        33.7385        1052.6769      
45.01     2.305551e-09   1.973831e-09   8.0000         22.6300        33.7385        1052.6769      
46.01     2.317264e-09   2.116902e-09   8.0000         22.6300        33.7385        1052.6769      
47.01     2.328982e-09   2.445039e-09   8.0000         22.6300        33.7385        1052.6769      
48.01     2.340709e-09   1.495420e-09   8.0000         22.6300        33.7385        1052.6769      
49.01     2.352448e-09   2.260191e-09   8.0000         22.6300        33.7385        1052.6769      
50.01     2.364202e-09   1.823890e-09   8.0000         22.6300        33.7385        1052.6769      
51.01     2.375973e-09   2.230704e-09   8.0000         22.6300        33.7385        1052.6769      
52.01     2.387763e-09   1.445415e-09   8.0000         22.6300        33.7385        1052.6769      
53.01     2.399575e-09   2.269221e-09   8.0000         22.6300        33.7385        1052.6769      
54.01     2.411410e-09   2.718647e-09   8.0000         22.6300        33.7385        1052.6769      
55.01     2.423271e-09   2.318632e-09   8.0000         22.6300        33.7385        1052.6769      
56.01     2.435159e-09   2.436514e-09   8.0000         22.6300        33.7385        1052.6769      
57.01     2.447076e-09   2.033986e-09   8.0000         22.6300        33.7385        1052.6769      
58.01     2.459023e-09   2.417743e-09   8.0000         22.6300        33.7385        1052.6769      
59.01     2.471003e-09   1.548108e-09   8.0000         22.6300        33.7385        1052.6769      
60.01     2.483015e-09   2.362366e-09   8.0000         22.6300        33.7385        1052.6769      
61.01     2.495063e-09   2.813774e-09   8.0000         22.6300        33.7385        1052.6769      
62.01     2.507146e-09   2.359886e-09   8.0000         22.6300        33.7385        1052.6769      
63.01     2.519267e-09   2.568138e-09   8.0000         22.6300        33.7385        1052.6769      
64.01     2.531425e-09   2.345619e-09   8.0000         22.6300        33.7385        1052.6769      
65.01     2.543624e-09   2.475379e-09   8.0000         22.6300        33.7385        1052.6769      
66.01     2.555862e-09   1.717121e-09   8.0000         22.6300        33.7385        1052.6769      
67.01     2.568142e-09   2.612059e-09   8.0000         22.6300        33.7385        1052.6769      
68.01     2.580464e-09   2.306168e-09   8.0000         22.6300        33.7385        1052.6769      
69.01     2.592829e-09   2.509680e-09   8.0000         22.6300        33.7385        1052.6769      
70.01     2.605239e-09   2.293371e-09   8.0000         22.6300        33.7385        1052.6769      
71.01     2.617693e-09   2.534181e-09   8.0000         22.6300        33.7385        1052.6769      
72.01     2.630193e-09   1.868444e-09   8.0000         22.6300        33.7385        1052.6769      
73.00     2.642613e-09   2.497470e-09   8.0000         22.6300        33.7385        1052.6769      
74.00     2.655206e-09   1.717910e-09   8.0000         22.6300        33.7385        1052.6769      
75.00     2.667846e-09   2.540970e-09   8.0000         22.6300        33.7385        1052.6769      
76.00     2.680535e-09   1.650060e-09   8.0000         22.6300        33.7385        1052.6769      
77.00     2.693274e-09   2.497470e-09   8.0000         22.6300        33.7385        1052.6769      
78.00     2.706062e-09   2.238720e-09   8.0000         22.6300        33.7385        1052.6769      
79.00     2.718900e-09   2.615170e-09   8.0000         22.6300        33.7385        1052.6769      
80.00     2.731789e-09   2.900680e-09   8.0000         22.6300        33.7385        1052.6769      
