      Time          Power     Hist_Power    FR_Position    CR_Position            RHO      InsertRho
         0    1.62592e-09    1.62592e-09         0.0000        22.6200         0.0000      1018.9385
         1    1.62821e-09    1.86209e-09         0.2901        22.6200         0.9427      1019.8811
         2    1.63289e-09    8.36566e-10         0.8000        22.6200         2.6001      1021.5386
         3    1.63718e-09    1.70805e-09         1.1400        22.6200         3.7050      1022.6435
         4    1.64309e-09    9.94260e-10         1.6300        22.6200         5.2975      1024.2360
         5    1.64858e-09    1.53993e-09         1.9700        22.6200         6.4025      1025.3410
         6    1.65573e-09    9.38642e-10         2.4700        22.6200         8.0276      1026.9661
         7    1.66235e-09    1.47062e-09         2.8100        22.6200         9.1326      1028.0711
         8    1.66919e-09    1.75792e-09         3.1401        22.6200        10.2052      1029.1436
         9    1.67788e-09    1.57580e-09         3.6500        22.6200        11.8626      1030.8011
        10    1.68577e-09    1.70805e-09         3.9700        22.6200        12.9025      1031.8410
        11    1.69159e-09    1.55776e-09         4.0100        22.6200        13.0500      1031.9885
        12    1.69657e-09    1.72783e-09         4.0000        22.6200        13.0000      1031.9385
        13    1.70127e-09    1.54882e-09         3.9900        22.6200        12.9675      1031.9060
        14    1.70584e-09    1.78855e-09         3.9900        22.6200        12.9675      1031.9060
        15    1.71025e-09    1.52230e-09         3.9900        22.6200        12.9675      1031.9060
        16    1.71452e-09    1.71791e-09         3.9900        22.6200        12.9675      1031.9060
        17    1.71868e-09    1.47911e-09         3.9900        22.6200        12.9675      1031.9060
        18    1.72274e-09    1.80926e-09         3.9900        22.6200        12.9675      1031.9060
        19    1.72671e-09    1.64059e-09         3.9900        22.6200        12.9675      1031.9060
        20    1.73059e-09    1.83021e-09         3.9900        22.6200        12.9675      1031.9060
        21    1.73441e-09    1.65959e-09         3.9900        22.6200        12.9675      1031.9060
        22    1.73817e-09    1.85140e-09         3.9900        22.6200        12.9675      1031.9060
        23    1.74187e-09    1.65006e-09         3.9900        22.6200        12.9675      1031.9060
        24    1.74552e-09    1.89452e-09         3.9900        22.6200        12.9675      1031.9060
        25    1.74912e-09    1.56675e-09         3.9900        22.6200        12.9675      1031.9060
        26    1.75269e-09    9.49511e-10         3.9900        22.6200        12.9675      1031.9060
        27    1.75622e-09    1.60325e-09         3.9900        22.6200        12.9675      1031.9060
        28    1.75971e-09    1.03514e-09         3.9900        22.6200        12.9675      1031.9060
        29    1.76318e-09    1.63117e-09         3.9900        22.6200        12.9675      1031.9060
        30    1.76661e-09    1.59404e-09         3.9900        22.6200        12.9675      1031.9060
        31    1.77002e-09    1.74783e-09         3.9900        22.6200        12.9675      1031.9060
        32    1.77341e-09    1.53109e-09         3.9900        22.6200        12.9675      1031.9060
        33    1.77678e-09    1.67880e-09         3.9900        22.6200        12.9675      1031.9060
        34    1.78013e-09    1.65959e-09         3.9900        22.6200        12.9675      1031.9060
        35    1.78347e-09    1.78855e-09         3.9900        22.6200        12.9675      1031.9060
        36    1.78678e-09    1.23027e-09         3.9900        22.6200        12.9675      1031.9060
        37    1.79009e-09    1.76807e-09         3.9900        22.6200        12.9675      1031.9060
        38    1.79338e-09    1.07152e-09         3.9900        22.6200        12.9675      1031.9060
        39    1.79666e-09    1.69824e-09         3.9900        22.6200        12.9675      1031.9060
        40    1.79993e-09    1.10918e-09         3.9900        22.6200        12.9675      1031.9060
        41    1.80318e-09    1.80926e-09         3.9900        22.6200        12.9675      1031.9060
        42    1.80643e-09    1.05317e-09         3.9900        22.6200        12.9675      1031.9060
        43    1.80968e-09    1.79887e-09         3.9900        22.6200        12.9675      1031.9060
        44    1.81291e-09    9.71628e-10         3.9900        22.6200        12.9675      1031.9060
        45    1.81614e-09    1.71791e-09         3.9900        22.6200        12.9675      1031.9060
        46    1.81936e-09    1.35675e-09         3.9900        22.6200        12.9675      1031.9060
        47    1.82258e-09    1.74783e-09         3.9900        22.6200        12.9675      1031.9060
        48    1.82580e-09    1.28825e-09         3.9900        22.6200        12.9675      1031.9060
        49    1.82901e-09    1.77828e-09         3.9900        22.6200        12.9675      1031.9060
        50    1.83221e-09    1.21619e-09         3.9900        22.6200        12.9675      1031.9060
        51    1.83542e-09    1.72783e-09         3.9900        22.6200        12.9675      1031.9060
        52    1.83862e-09    1.10281e-09         3.9900        22.6200        12.9675      1031.9060
        53    1.84182e-09    1.81970e-09         3.9900        22.6200        12.9675      1031.9060
        54    1.84501e-09    1.02920e-09         3.9900        22.6200        12.9675      1031.9060
        55    1.84821e-09    1.78855e-09         3.9900        22.6200        12.9675      1031.9060
        56    1.85141e-09    1.34122e-09         3.9900        22.6200        12.9675      1031.9060
