McCARD
CR_position  CR_worth
0            0
4            45
8            157
11           302
14           453
17           630
19           764
19.72        819.2
20           833
20.32        859.2
20.93        900.2
21.45        931.2
22.11        972.2
22.43        992.2
22.61        1005.2
23           1047
23.17        1062.7

FR_position  FR_worth
0            0
4            13
8            33
12           74
15           105
18           146
21           186
23           213

Ch#1
CR_position  CR_worth
0            0
4            50
8            139
11           255
14           384
17           531
19           645
19.72        682.4
20           698
20.32        722.4
20.93        763.4
21.45        794.4
22.11        835.4
22.43        855.4
22.61        868.4
23           886.5
23.17        897.7


Ch#5
CR_position  CR_worth
0            0
4            92
8            168
11           301
14           455
17           618
19           738
19.72        784.1
20           802
20.32        824.1
20.93        865.1
21.45        896.1
22.11        937.1
22.43        957.1
22.61        970.1
23           997.2
23.17        1008.8





















































